"","V1","YEAR","GEO","Age_group","Sex","Element","AVG_VALUE"
"1",26974,1980,"British Columbia",0,"Both","Number of survivors at age x (lx)",1e+05
"2",27001,1980,"British Columbia",1,"Both","Number of survivors at age x (lx)",98953
"3",27028,1980,"British Columbia",2,"Both","Number of survivors at age x (lx)",98862
"4",27055,1980,"British Columbia",3,"Both","Number of survivors at age x (lx)",98798
"5",27082,1980,"British Columbia",4,"Both","Number of survivors at age x (lx)",98750
"6",27109,1980,"British Columbia",5,"Both","Number of survivors at age x (lx)",98714
"7",27136,1980,"British Columbia",6,"Both","Number of survivors at age x (lx)",98684
"8",27163,1980,"British Columbia",7,"Both","Number of survivors at age x (lx)",98658
"9",27190,1980,"British Columbia",8,"Both","Number of survivors at age x (lx)",98635
"10",27217,1980,"British Columbia",9,"Both","Number of survivors at age x (lx)",98613
"11",27244,1980,"British Columbia",10,"Both","Number of survivors at age x (lx)",98591
"12",27271,1980,"British Columbia",11,"Both","Number of survivors at age x (lx)",98568
"13",27298,1980,"British Columbia",12,"Both","Number of survivors at age x (lx)",98542
"14",27325,1980,"British Columbia",13,"Both","Number of survivors at age x (lx)",98512
"15",27352,1980,"British Columbia",14,"Both","Number of survivors at age x (lx)",98475
"16",27379,1980,"British Columbia",15,"Both","Number of survivors at age x (lx)",98426
"17",27406,1980,"British Columbia",16,"Both","Number of survivors at age x (lx)",98358
"18",27433,1980,"British Columbia",17,"Both","Number of survivors at age x (lx)",98266
"19",27460,1980,"British Columbia",18,"Both","Number of survivors at age x (lx)",98156
"20",27487,1980,"British Columbia",19,"Both","Number of survivors at age x (lx)",98038
"21",27514,1980,"British Columbia",20,"Both","Number of survivors at age x (lx)",97919
"22",27541,1980,"British Columbia",21,"Both","Number of survivors at age x (lx)",97800
"23",27568,1980,"British Columbia",22,"Both","Number of survivors at age x (lx)",97681
"24",27595,1980,"British Columbia",23,"Both","Number of survivors at age x (lx)",97563
"25",27622,1980,"British Columbia",24,"Both","Number of survivors at age x (lx)",97448
"26",27649,1980,"British Columbia",25,"Both","Number of survivors at age x (lx)",97336
"27",27676,1980,"British Columbia",26,"Both","Number of survivors at age x (lx)",97226
